Timestamp	Full Name	University Of Manchester email address	Which faculty are you in?	How did you find out about this course?	Which programming languages do you use?	Which version control systems do you use?	Which software engineering techniques do you use?	Which course did you attend?	Please suggest one thing the instructor could have done to make this lesson more effective?	If you could pick one thing from the lesson to go over again, what would it be?	What other topics would you like to have covered in the lesson?	Do you have any other feedback?	How would you rate the course overall?
31-Oct-2018			Science and Engineering	StaffNet Learning and Development page	MATLAB, Python	Git	Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to Python	Materials are not as expected like the course 'Introduction to Python'. 	dictionaries 			5
31-Oct-2018			Science and Engineering	StaffNet Learning and Development page	C/C++, Python, Bash	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Programming in Python	Nothing	Nothing			5
31-Oct-2018			Science and Engineering	StaffNet Learning and Development page	MATLAB, C/C++	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Introduction to Python	Nothing	Nothing			5
31-Oct-2018			Science and Engineering	StaffNet Learning and Development page	MATLAB, C/C++	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Programming in Python	Nothing	Nothing		I think it would have been better if the classes, Introduction and programming in Python, where done about a week apart. Two weeks apart seems to long	4
31-Oct-2018			Biology, Medicine and Health	eProg training catalogue	MATLAB, R, Lua	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Programming in Python	No fault of the instructor but difficult to stay focused all day	working with image data	Working with 3D image data		5
31-Oct-2018			Science and Engineering	Research IT newsletter (researchitnews.org)	MATLAB	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Programming in Python	Nothing	loops	Larger matrices, calling functions from another file. 	Thanks	5
31-Oct-2018			Biology, Medicine and Health	Word of mouth	MATLAB, R	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Programming in Python	I can't think of anything	image processing			5
31-Oct-2018			Biology, Medicine and Health	StaffNet Learning and Development page	Python, R, Bash, Java (small amounts)	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions)	Programming in Python	Maybe spend a little less time on the very basics (variables, lists, dicts etc.) but I understand many people haven't covered them much before	The detail of how to plot graphs using matplotlib	Coding etiquette and good habits	Very interesting overall and really enjoyed the telescope image example	4
31-Oct-2018			Science and Engineering	A University email list	MATLAB, Python, R	Git	Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing, Code reviews	Programming in Python	Schedule more time to the course as some material was left out due to lack of time	Numerical analysys			4
31-Oct-2018			Science and Engineering	Research IT website	Python	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Defensive programming	Programming in Python	Less focus on the basics at the beginning, took slightly too long and then ran out of time. Personally I have been using python regularly for a while so less relevant to me.	Units as we missed out that section.	Maybe a bit more information on the types of plots available.		4
31-Oct-2018			Biology, Medicine and Health	StaffNet Learning and Development page	MATLAB, R	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Programming in Python	N/A	N/A	image processing		4
31-Oct-2018			Science and Engineering	Research IT newsletter (researchitnews.org)	Python, IDL	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Programming in Python	Can't think of anything.	The masking stuff will be really helpful for me.	None that I can think of. Great course.	"Really enjoyed Nicolas' style. As he was going through the code he was explaining the right things (ie. ""here you can see where I go the formatting wrong"" or ""I need to indent this to make it work""). It was fun uncovering the Hubble image :-)."	5
31-Oct-2018			Biology, Medicine and Health	StaffNet Learning and Development page	MATLAB, C/C++, Python, R, Bash, Java, Pearl	Git	Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions)	Programming in Python	It was well done, the speed was good, maybe we could have done more exercises	pyfits library	Oriented object programming (but in 1 day it's impossible to cover everything)	I loved it !! Thank you	5
31-Oct-2018			Biology, Medicine and Health	StaffNet Learning and Development page	Python, R	Git	None	Programming in Python	lesson was great	bit more data munging exercise	pandas	I think people like me will benefit greatly from more of these lessons, perhaps one library to cover each workshop but in way more depth.	5
6-Nov-2018			Science and Engineering	Research IT newsletter (researchitnews.org)	Mathematica	None	None	Data analysis using R	Lesson screen record of what have been down on Computer	none		Make the Training Shorter	5
6-Nov-2018			Science and Engineering	StaffNet Learning and Development page	MATLAB, Python, R	None	None	Introduction to Mathematica	She taught with enthusiasm. All data manipulation functions covered well.	All is good, just need more practise.	I would like an advanced course to allow me to practise modelling (as in for systems biology)		5
6-Nov-2018			Science and Engineering	Supervisor	Mathematica	None	None	Introduction to Mathematica	Split the course into shorter sections over more than one day, e.g. a 3hour session one day and another 3hour session another day- by the afternoon it was harder to concentrate on the more complex stuff.	Making charts- especially how to change the style etc			4
6-Nov-2018			Science and Engineering	Supervisor	MATLAB, C/C++	None	Comments	Introduction to Mathematica	Increase the time of the course 	none	Programing example in python	None	4
6-Nov-2018			Science and Engineering	StaffNet Learning and Development page	Mathematica, Bash	Git	Gaussian 	Introduction to Mathematica	maintain how you deliver the topic as the demonstrator do exercise along the audience.	visualisation of data (to do graph in 2D or 3D)	Representation of DATA	Overall is good	5
7-Nov-2018			Science and Engineering	StaffNet Learning and Development page	None	None	None	Version control with Git and GitHub	Move a little faster in the beginning.	Going over branching off commits			4
7-Nov-2018			Science and Engineering	A University email list	MATLAB, Python	None, Git	None	Version control with Git and GitHub	no	Git and GitHub, Mathematica			5
7-Nov-2018			Science and Engineering	StaffNet Learning and Development page	MATLAB, C/C++, Python	Git	Sub-programs (e.g. functions, subroutines, methods, procedures)	Version control with Git and GitHub	by not assuming previous knowledge, using terminology that was not introduced. Perhaps adding a couple of slides to show the big picture first with all the things that will be covered, introducing terminology.	more examples on rebasing, creating branches from other branches, and the type of conflicts that might be expected.			3
7-Nov-2018			Biology, Medicine and Health	StaffNet Learning and Development page	Python, R	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Version control with Git and GitHub	na	na			4
7-Nov-2018			Biology, Medicine and Health	Word of mouth	MATLAB, C/C++, Python, R, Bash	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Code reviews	Version control with Git and GitHub	Very clear, reminder to sign in to Github before lunch would be good.	Nothing, really clear			5
7-Nov-2018			Biology, Medicine and Health	StaffNet Learning and Development page	MATLAB, C/C++, Python, R, Lua	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions)	Version control with Git and GitHub	n/a	Rebasing	other document formats than txt files	Very good thank you	5
7-Nov-2018			Biology, Medicine and Health	StaffNet Learning and Development page	Python, R	Git	Comments	Version control with Git and GitHub	Really well delivered and thought out, was very effective. No suggestions	More insight into how to use the more GUI based Github as personally I would use that over a CLI.	Was really happy with what was covered	N/A	5
7-Nov-2018			Biology, Medicine and Health	StaffNet Learning and Development page	Python, R	None	None	Version control with Git and GitHub	nothing	branching		Great instruction.	5
7-Nov-2018			Biology, Medicine and Health	Word of mouth	Python, R, SQL, Lua	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Version control with Git and GitHub	Nothing - really informative	managing branches			5
